"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1961,1961,"ha",2e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1961,1961,"t",180000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1962,1962,"ha",175000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1962,1962,"t",175000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1963,1963,"ha",162000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1963,1963,"t",178000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1964,1964,"ha",173000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1964,1964,"t",135258,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1965,1965,"ha",192000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1965,1965,"t",149124,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1966,1966,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1966,1966,"t",161072,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1967,1967,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1967,1967,"t",143627,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1968,1968,"ha",315000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1968,1968,"t",163314,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1969,1969,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1969,1969,"t",145179,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1970,1970,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1970,1970,"t",171912,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1971,1971,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1971,1971,"t",150335,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1972,1972,"ha",350000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1972,1972,"t",175247,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1973,1973,"ha",353749,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1973,1973,"t",192406,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1974,1974,"ha",310000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1974,1974,"t",195024,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1975,1975,"ha",450000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1975,1975,"t",250000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1976,1976,"ha",550000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1976,1976,"t",3e+05,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1977,1977,"ha",7e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1977,1977,"t",350000,"X","Figure from external organization","Unofficial figure"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1978,1978,"ha",7e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1978,1978,"t",450909,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1979,1979,"ha",7e+05,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1979,1979,"t",695000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",114,"Sorghum",1980,1980,"ha",740000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",114,"Sorghum",1980,1980,"t",510000,"E","Estimated value",""
