"Domain.Code","Domain","Area.Code..FAO.","Area","Element.Code","Element","Item.Code..CPC.","Item","Year.Code","Year","Unit","Value","Flag","Flag.Description","Note"
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1961,1961,"ha",8000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1961,1961,"t",6100,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1962,1962,"ha",18000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1962,1962,"t",17578,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1963,1963,"ha",22000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1963,1963,"t",24514,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1964,1964,"ha",25000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1964,1964,"t",27099,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1965,1965,"ha",33000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1965,1965,"t",33019,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1966,1966,"ha",34000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1966,1966,"t",38270,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1967,1967,"ha",31000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1967,1967,"t",35099,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1968,1968,"ha",38000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1968,1968,"t",44000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1969,1969,"ha",38000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1969,1969,"t",41000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1970,1970,"ha",60000,"E","Estimated value",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5510,"Production",111,"Wheat",1970,1970,"t",57000,"A","Official figure",""
"QCL","Crops and livestock products",215,"United Republic of Tanzania",5312,"Area harvested",111,"Wheat",1971,1971,"ha",78308,"A","Official figure",""
