"family","species","month","year","x","y"
"Elephantidae","Loxodonta africana",6,2012,34.086782,-2.276964
"Bovidae","Syncerus caffer",6,2012,35.75882,-3.5614
"Bovidae","Syncerus caffer",6,2012,35.449649,-3.230564
"Felidae","Panthera pardus",6,2012,34.964466,-2.475424
"Elephantidae","Loxodonta africana",6,2012,35.132623,-1.883995
"Bovidae","Syncerus caffer",6,2012,35.733925,-3.0035
"Elephantidae","Loxodonta africana",6,2012,35.611162,-3.004654
"Elephantidae","Loxodonta africana",6,2012,35.972189,-3.429279
"Bovidae","Syncerus caffer",6,2012,35.120843,-1.948731
"Elephantidae","Loxodonta africana",6,2012,35.036549,-1.983431
"Felidae","Panthera leo",6,2012,34.332493,-2.114033
"Felidae","Panthera leo",6,2012,34.827496,-2.442623
"Rhinocerotidae","Diceros bicornis",6,2012,35.439176,-3.00225
"Elephantidae","Loxodonta africana",6,2012,34.985029,-2.610348
"Felidae","Panthera pardus",6,2012,34.899282,-2.520544
"Rhinocerotidae","Diceros bicornis",6,2012,35.598927,-3.026299
"Bovidae","Syncerus caffer",6,2012,35.643418,-3.299951
"Felidae","Panthera leo",6,2012,35.706929,-3.350024
"Elephantidae","Loxodonta africana",11,2008,36.805021,-7.853453
"Elephantidae","Loxodonta africana",11,2008,37.286555,-6.991652
"Bovidae","Syncerus caffer",2,2002,35.427103,-3.054314
"Felidae","Panthera pardus",2,2002,34.780589,-2.286454
"Felidae","Panthera leo",2,2002,35.474244,-3.089401
"Elephantidae","Loxodonta africana",2,2002,35.627,-3.465851
"Elephantidae","Loxodonta africana",5,2010,37.279797,-7.173397
"Bovidae","Syncerus caffer",5,2010,37.363017,-7.104971
"Felidae","Panthera leo",10,2010,34.766518,-2.589822
"Elephantidae","Loxodonta africana",10,2007,35.925574,-3.938944
"Elephantidae","Loxodonta africana",10,2007,35.541026,-3.35838
"Felidae","Panthera pardus",10,2007,35.889235,-3.905407
"Bovidae","Syncerus caffer",10,2007,35.48374,-3.098069
"Bovidae","Syncerus caffer",10,2007,35.888447,-3.906612
"Elephantidae","Loxodonta africana",10,2007,35.918515,-3.946109
"Felidae","Panthera leo",10,2007,35.466303,-3.052463
"Elephantidae","Loxodonta africana",10,2007,35.583946,-3.283706
"Bovidae","Syncerus caffer",10,2007,35.40501,-3.348187
"Bovidae","Syncerus caffer",11,2007,34.999882,-7.736234
